Year,Company,Ticker,Total Revenue,Net Income,Pretax Income,Tax Provision,Interest Expense,Interest Income,Selling General And Administration,Diluted EPS,Basic EPS,Total Assets,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Free Cash Flow,Capital Expenditure,Operating Cash Flow
2021-12-31,American Express,AXP,,,,,,,,,,,,,,,,
2022-12-31,American Express,AXP,52.862,7.514,9.585,2.071,2.763,12.658,12.71,9.849999999999999e-09,9.86,228.354,43.921,24.711,33.537,19.224,-1.855,21.079
2023-12-31,American Express,AXP,60.515,8.374,10.513,2.139,6.849,19.983,13.28,1.121e-08,11.23,261.108,49.159,28.057,46.53,16.996,-1.563,18.559
2024-12-31,American Express,AXP,65.949,10.129,12.895,2.766,8.252,23.795,14.238,1.401e-08,14.04,271.461,51.089,30.264,40.552,12.139,-1.911,14.05
2025-12-31,American Express,AXP,72.23,10.833,13.795,2.962,8.234,25.598,15.268,1.538e-08,15.41,300.052,57.759,33.474,47.708,16.003,-2.425,18.428
2021-09-30,Visa,V,,,,,,,,,,,,,,,,
2022-09-30,Visa,V,29.31,14.957,18.136,3.179,0.538,,3.035,7e-09,7.01,85.501,22.45,35.581,15.689,17.879,-0.97,18.849
2023-09-30,Visa,V,32.653,17.273,21.037,3.764,0.644,,3.216,8.279999999999999e-09,8.29,90.499,20.463,38.733,16.286,19.696,-1.059,20.755
2024-09-30,Visa,V,35.926,19.743,23.916,4.173,0.641,,3.793,9.73e-09,9.74,94.511,20.836,39.137,11.975,18.693,-1.257,19.95
2025-09-30,Visa,V,40.0,20.058,24.194,4.136,0.589,,4.369,1.0199999999999999e-08,10.22,99.627,25.171,37.909,17.164,21.577,-1.482,23.059
2021-12-31,Mastercard,MA,,,,,,,,,,,,,,,,
2022-12-31,Mastercard,MA,22.237,9.93,11.732,1.802,0.471,,3.502,1.022e-08,10.26,38.724,14.023,6.298,7.008,10.098,-1.097,11.195
2023-12-31,Mastercard,MA,25.098,11.195,13.639,2.444,0.575,,3.647,1.183e-08,11.86,42.448,15.681,6.929,8.588,10.892,-1.088,11.98
2024-12-31,Mastercard,MA,28.167,12.874,15.254,2.38,0.646,,4.27,1.389e-08,13.91,48.081,18.226,6.485,8.442,13.586,-1.194,14.78
2025-12-31,Mastercard,MA,32.791,14.968,18.578,3.61,0.722,,4.883,1.652e-08,16.54,54.157,19.0,7.737,10.566,16.433,-1.215,17.648
2021-12-31,Capital One,COF,,,,,,,,,,,,,,,,
2022-12-31,Capital One,COF,34.25,7.36,9.24,1.88,4.123,31.237,12.442,1.791e-08,17.98,455.249,47.832,52.582,30.856,12.875,-0.934,13.809
2023-12-31,Capital One,COF,36.787,4.887,6.045,1.158,12.697,41.938,13.311,1.195e-08,11.98,478.464,49.318,58.089,43.297,19.614,-0.961,20.575
2024-12-31,Capital One,COF,39.112,4.75,5.91,1.163,14.826,46.034,13.96,1.159e-08,11.61,490.144,44.989,60.784,43.23,16.955,-1.204,18.159
2025-12-31,Capital One,COF,53.434,2.453,2.281,0.193,15.818,58.696,18.355,4.03e-09,4.03,669.009,50.413,113.616,57.434,26.14,-1.578,27.718
