Quarter,Total Revenue,Net Income,Tax Provision,Interest Expense,Interest Income,Total Assets,Long Term Debt,Stockholders Equity,Diluted EPS,Basic EPS
2010-03-31,,0.885,0.367,0.598,1.905,143.314,72.293,13.425,,
2010-06-30,,1.017,0.578,0.61,1.798,143.763,69.345,14.513,,
2010-09-30,,1.093,0.547,0.61,1.794,146.056,68.828,15.92,,
2010-12-31,,1.062,,,,146.689,66.416,18.794,,
2011-03-31,,1.177,0.555,0.593,1.663,143.979,60.73,17.482,,
2011-06-30,,1.331,0.47,0.577,1.66,147.796,61.395,18.205,,
2011-09-30,,1.235,0.476,0.575,1.688,148.693,61.767,18.1,,
2011-12-31,,1.192,,,,153.337,59.57,18.794,,
2012-03-31,,1.256,0.517,0.574,1.707,151.784,56.844,19.907,,
2012-06-30,,1.339,0.54,0.55,1.671,148.128,55.953,19.267,,
2012-09-30,,1.25,0.62,0.558,1.739,152.873,56.271,19.478,,
2012-12-31,,0.637,,,,153.14,58.973,18.886,,
2013-03-31,,1.28,0.629,0.519,1.762,156.855,56.366,19.29,,
2013-06-30,,1.405,0.59,0.492,1.694,151.933,52.675,19.034,,
2013-09-30,,1.366,0.638,0.484,1.767,150.103,52.529,19.216,,
2013-12-31,,1.308,,,,153.0,55.33,19.496,,
2014-03-31,,1.432,0.776,0.439,1.776,151.497,54.095,19.977,,
2014-06-30,,1.529,0.783,0.443,1.759,152.384,54.836,20.213,,
2014-09-30,,1.477,0.769,0.42,1.815,153.862,55.712,20.216,,
2014-12-31,,1.447,,,,159.0,57.955,20.673,,
2015-03-31,,1.525,0.791,0.41,1.857,155.0,54.712,22.0,,
2015-06-30,,1.473,0.757,0.414,1.837,157.0,52.74,22.0,,
2015-09-30,,1.266,0.672,0.399,1.904,154.0,48.653,21.0,,
2015-12-31,,0.899,,,,161.184,48.061,20.673,,
2016-03-31,8.088,1.426,0.758,0.425,2.005,158.816,47.311,20.727,,
2016-06-30,8.235,2.015,1.001,0.436,1.885,159.642,50.649,20.712,,
2016-09-30,7.774,1.142,0.593,0.43,1.764,153.377,44.894,21.0,,
2016-12-31,8.022,0.825,,,,158.893,46.99,20.501,,
2017-03-31,8.709,1.251,0.588,0.443,1.945,161.0,51.647,20.935,,
2017-06-30,9.172,1.344,0.613,0.521,2.054,167.0,51.945,21.175,,
2017-09-30,9.29,1.359,0.472,0.568,2.245,169.0,48.762,21.085,,
2017-12-31,9.707,-1.206,,,,181.0,55.804,18.261,,
2018-03-31,9.718,1.634,0.448,0.621,2.462,180.0,52.461,19.613,,
2018-06-30,10.002,1.623,0.468,0.711,2.54,185.0,55.883,20.892,,
2018-09-30,10.144,1.654,0.464,0.777,2.738,189.0,55.3,21.46,,
2018-12-31,10.474,2.01,,,,189.0,58.423,22.29,,
2019-03-31,10.364,1.55,0.408,0.895,2.954,197.0,58.418,22.218,,
2019-06-30,10.838,1.761,0.458,0.891,2.965,198.0,57.736,23.092,,
2019-09-30,10.989,1.755,0.511,0.877,3.08,194.0,58.474,23.025,,
2019-12-31,11.365,1.693,,,,198.0,57.835,23.071,,
2020-03-31,10.31,0.367,0.085,0.716,3.046,186.0,52.588,21.006,,
2020-06-30,7.675,0.257,0.365,0.542,2.426,189.0,48.797,21.062,,
2020-09-30,8.751,1.073,0.291,0.45,2.324,187.0,44.777,21.869,,
2020-12-31,9.351,1.438,,,,191.0,42.952,22.984,,
2021-03-31,9.064,2.235,0.758,0.362,2.192,193.0,42.019,24.449,,
2021-06-30,10.243,2.28,0.66,0.322,2.14,187.0,37.363,25.539,,
2021-09-30,10.928,1.826,0.624,0.307,2.301,184.0,34.483,24.426,,
2021-12-31,,,,,,189.0,38.675,22.177,,
2022-03-31,11.735,2.099,0.613,0.321,2.52,196.0,38.337,22.383,,
2022-06-30,13.395,1.964,0.579,0.439,2.799,205.0,40.495,23.235,,
2022-09-30,13.556,1.879,0.58,0.796,3.374,215.0,42.393,23.94,,
2022-12-31,,,,,,228.354,42.573,24.711,,
2023-03-31,14.281,1.816,0.351,1.433,4.416,236.0,41.138,25.992,,
2023-06-30,15.054,2.174,0.56,1.67,4.775,244.904,46.725,26.703,,
2023-09-30,15.381,2.451,0.649,1.798,5.24,250.587,46.447,27.324,,
2023-12-31,,,,,,261.108,47.866,28.057,,
2024-03-31,15.801,2.437,0.708,2.006,5.775,269.261,48.826,28.764,,
2024-06-30,16.333,3.015,0.775,,5.794,272.219,51.521,29.54,,
2024-09-30,16.636,2.507,0.697,,6.149,270.979,53.546,29.707,,
2024-12-31,,,,,,271.461,49.715,30.264,,
2025-03-31,16.967,2.584,0.746,,6.135,282.244,51.236,31.202,3.64,3.64
2025-06-30,17.856,2.885,0.665,,6.264,295.556,58.202,32.311,4.08,4.08
2025-09-30,18.426,2.902,0.923,,6.617,297.55,57.787,32.417,4.14,4.14
2025-12-31,,,,,,300.052,56.387,33.474,3.53,3.53
2026-03-31,18.907,2.971,0.807,,6.665,308.894,58.75,33.995,4.28,4.29
