Quarter,Company,Ticker,Total Revenue,Net Income,Pretax Income,Tax Provision,Interest Expense,Interest Income,Selling General And Administration,Diluted EPS,Basic EPS,Total Assets,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Free Cash Flow,Capital Expenditure,Operating Cash Flow
2024-09-30,American Express,AXP,,,,,,,,,,,,,,,,
2024-12-31,American Express,AXP,,,,,,,,,,,,,,,,
2025-03-31,American Express,AXP,16.967,2.584,3.33,0.746,1.966,6.135,3.606,3.64,3.64,282.244,52.795,31.202,52.406,4.334,-0.43,4.764
2025-06-30,American Express,AXP,17.856,2.885,3.55,0.665,2.077,6.264,3.707,4.08,4.08,295.556,59.695,32.311,57.83,3.745,-0.619,4.364
2025-09-30,American Express,AXP,18.426,2.902,3.825,0.923,2.131,6.617,3.838,4.14,4.14,297.55,59.233,32.417,53.468,5.578,-0.655,6.233
2025-12-31,American Express,AXP,18.981,2.462,3.09,0.628,2.06,6.582,4.117,3.53,3.53,300.052,57.759,33.474,47.708,2.346,-0.721,3.067
2026-03-31,American Express,AXP,18.908,2.971,3.778,0.807,1.973,6.665,3.962,4.28,4.29,308.894,60.442,33.995,53.647,2.655,-1.149,3.804
2024-09-30,Visa,V,,,,,,,,,,,,,,,,
2024-12-31,Visa,V,,,,,,,,,,,,,,,,
2025-03-31,Visa,V,9.594,4.577,5.438,0.861,0.158,,0.973,2.32,2.32,92.853,20.762,38.03,11.734,4.368,-0.327,4.695
2025-06-30,Visa,V,10.172,5.272,6.333,1.061,0.039,,1.09,2.69,2.69,100.024,25.138,38.664,17.092,6.309,-0.421,6.73
2025-09-30,Visa,V,10.724,5.09,6.223,1.133,0.21,,1.376,2.62,2.62,99.627,25.171,37.909,17.164,5.849,-0.389,6.238
2025-12-31,Visa,V,10.901,5.853,6.726,0.873,0.194,,1.133,3.03,3.03,96.814,21.177,38.777,14.756,6.402,-0.378,6.78
2026-03-31,Visa,V,11.23,6.021,7.174,1.153,0.178,,1.233,3.14,3.15,95.049,23.976,35.661,12.404,2.625,-0.383,3.008
2024-09-30,Mastercard,MA,,,,,,,,,,,,,,,,
2024-12-31,Mastercard,MA,,,,,,,,3.64,,,,,,,,
2025-03-31,Mastercard,MA,7.25,3.28,4.031,0.751,0.182,,0.986,3.59,3.6,48.47,18.802,6.671,7.575,2.023,-0.357,2.38
2025-06-30,Mastercard,MA,8.133,3.701,4.672,0.971,0.195,,1.086,,4.08,51.431,18.97,7.853,9.031,4.394,-0.209,4.603
2025-09-30,Mastercard,MA,8.602,3.927,4.999,1.072,0.186,,1.249,4.34,4.35,53.289,18.983,7.904,10.313,5.304,-0.359,5.663
2025-12-31,Mastercard,MA,8.806,4.06,4.876,0.816,0.159,,1.562,4.52,4.53,54.157,19.0,7.737,10.566,4.712,-0.29,5.002
2026-03-31,Mastercard,MA,8.398,3.882,4.812,0.93,0.185,,1.097,4.35,4.35,52.449,18.96,6.719,7.906,2.664,-0.335,2.999
2024-09-30,Capital One,COF,,,,,,,,,,,,,,,,
2024-12-31,Capital One,COF,10.19,1.096,1.459,0.366,3.619,11.717,3.704,,,490.144,44.989,60.784,43.23,2.092,-0.356,2.448
2025-03-31,Capital One,COF,10.0,1.404,1.729,0.325,3.405,11.418,3.748,3.45,3.46,493.604,41.2,63.542,48.573,4.319,-0.348,4.667
2025-06-30,Capital One,COF,12.577,-4.277,-5.929,-1.666,3.833,13.828,4.344,-8.58,-8.58,658.968,51.924,110.956,59.109,5.667,-0.399,6.066
2025-09-30,Capital One,COF,15.464,3.192,4.382,1.189,4.359,16.763,4.899,4.83,4.83,661.877,50.866,113.813,55.279,8.767,-0.387,9.154
2025-12-31,Capital One,COF,15.393,2.134,2.099,0.345,4.221,16.687,5.364,3.26,3.26,669.009,50.413,113.616,57.434,7.387,-0.444,7.831
2026-03-31,Capital One,COF,,,,,,,,3.34,3.34,,,,,,,
