,Company,Total Revenue,Net Income
2024-12-31,AmericanExpress,17179000000.0,2170000000.0
2025-03-31,AmericanExpress,16967000000.0,2584000000.0
2025-06-30,AmericanExpress,17856000000.0,2885000000.0
2025-09-30,AmericanExpress,18426000000.0,2902000000.0
2025-12-31,AmericanExpress,18981000000.0,2462000000.0
2024-12-31,Visa,9510000000.0,5119000000.0
2025-03-31,Visa,9594000000.0,4577000000.0
2025-06-30,Visa,10172000000.0,5272000000.0
2025-09-30,Visa,10724000000.0,5090000000.0
2025-12-31,Visa,10901000000.0,5853000000.0
2024-12-31,Mastercard,7489000000.0,3342000000.0
2025-03-31,Mastercard,7250000000.0,3280000000.0
2025-06-30,Mastercard,8133000000.0,3701000000.0
2025-09-30,Mastercard,8602000000.0,3927000000.0
2025-12-31,Mastercard,8806000000.0,4060000000.0
